,rowid,pl_name,hostname,pl_letter,hd_name,hip_name,tic_id,gaia_id,default_flag,sy_snum,system_no_of_planets,sy_mnum,cb_flag,discoverymethod,disc_year,disc_refname,disc_pubdate,disc_locale,disc_facility,disc_telescope,disc_instrument,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,soltype,pl_controv_flag,pl_refname,period,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_msinie,pl_msinij,pl_cmasse,pl_cmassj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,pl_tsystemref,ttv_flag,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,pl_occdep,pl_orbtper,pl_orblper,pl_rvamp,pl_projobliq,pl_trueobliq,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,sy_refname,rastr,ra,decstr,dec,glat,glon,elat,elon,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_plx,sy_bmag,sy_vmag,sy_jmag,sy_hmag,sy_kmag,sy_umag,sy_gmag,sy_rmag,sy_imag,sy_zmag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_gaiamag,sy_icmag,sy_tmag,sy_kepmag,rowupdate,pl_pubdate,releasedate,pl_nnotes,st_nphot,st_nrvc,st_nspec,pl_nespec,pl_ntranspec
1346,4422,K2-319 b,K2-319,b,,,TIC 301540319,Gaia DR2 3811688440459523200,1,1,1,0,0,Transit,2020,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.5416C/abstract target=ref>Castro Gonz&aacute;lez et al. 2020</a>,2020-12,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.5416C/abstract target=ref>Castro Gonz&aacute;lez et al. 2020</a>,26.68,0.1516,2.79,0.249,,,,,,,,,,,,,641.0,89.45,2457915.592,BJD,0,0.35,0.083,,,,,,,,,,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.5416C/abstract target=ref>Castro Gonz&aacute;lez et al. 2020</a>,,5440.0,0.9,0.95,,,,4.51,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h07m12.24s,166.8010058,+03d02m23.77s,3.0399357,55.3433,252.451,-2.40955,166.67372,22.9166813,-2.85775,-22.7378,209.071,4.75461,12.993,12.213,10.705,10.313,10.223,15.4566,15.2539,11.9577,11.7978,13.7911,10.097,10.17,10.183,8.797,11.9397,,11.4131,11.932,09/09/2020,2020-12,16/09/2020,0,0,0,0,0,0
1347,4423,K2-32 b,K2-32,b,,,TIC 437444661,Gaia DR2 4130539180358512768,0,2,4,0,0,Transit,2016,<a refstr=DAI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...823..115D/abstract target=ref>Dai et al. 2016</a>,2016-06,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,1,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=PETIGURA_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..142P/abstract target=ref>Petigura et al. 2017</a>,8.99213,0.08036,5.13,0.458,16.5,0.05191,,,,,16.5,0.05191,Mass,0.67,0.0,77.7,817.0,,2456909.918,BJD,0,,,,,,,,,5.63,,,<a refstr=PETIGURA_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..142P/abstract target=ref>Petigura et al. 2017</a>,,5275.0,0.84,0.86,-0.02,[Fe/H],,4.49,7.9,,0.7,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.426008,-19d32m34.98s,-19.5430504,15.80164,0.54581,2.89203,253.4468,56.1485729,-16.5975,-53.6394,157.682,6.31369,13.267,12.304,10.404,9.993,9.821,,,,,,9.754,9.787,9.887,8.412,12.0036,,11.3692,12.005,03/06/2019,2017-04,09/02/2017,1,0,0,0,0,0
1357,4433,K2-32 c,K2-32,c,,,TIC 437444661,Gaia DR2 4130539180358512768,0,2,4,0,0,Transit,2016,<a refstr=DAI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...823..115D/abstract target=ref>Dai et al. 2016</a>,2016-06,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,1,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,20.661623,,3.115,0.278,,,,,,,,,,,,,,89.275,2456899.422,,0,,,,33.515242,0.03403,,,,,,,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,,5415.0,0.84,0.92,0.03,[Fe/H],,4.73,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.426008,-19d32m34.98s,-19.5430504,15.80164,0.54581,2.89203,253.4468,56.1485729,-16.5975,-53.6394,157.682,6.31369,13.267,12.304,10.404,9.993,9.821,,,,,,9.754,9.787,9.887,8.412,12.0036,,11.3692,12.005,03/06/2019,2018-03,15/02/2018,1,0,0,0,0,0
1366,4442,K2-32 d,K2-32,d,,,TIC 437444661,Gaia DR2 4130539180358512768,0,2,4,0,0,Transit,2016,<a refstr=DAI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...823..115D/abstract target=ref>Dai et al. 2016</a>,2016-06,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,1,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,31.715868,,3.13,0.279,,,,,,,,,,,,,,,2456903.792,BJD,0,0.83,0.16,5.33,,0.04201,,,,,,,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,4686.0,0.72,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.426008,-19d32m34.98s,-19.5430504,15.80164,0.54581,2.89203,253.4468,56.1485729,-16.5975,-53.6394,157.682,6.31369,13.267,12.304,10.404,9.993,9.821,,,,,,9.754,9.787,9.887,8.412,12.0036,,11.3692,12.005,05/12/2015,2016-01,05/12/2015,1,0,0,0,0,0
1375,4451,K2-32 e,K2-32,e,,,TIC 437444661,Gaia DR2 4130539180358512768,0,2,4,0,0,Transit,2019,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...625A..31H/abstract target=ref>Heller et al. 2019</a>,2019-05,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,1,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...625A..31H/abstract target=ref>Heller et al. 2019</a>,4.34882,0.04951,1.01,0.09,,,,,,,,,,,,,,,2456898.886,BJD,0,0.22,,,,0.0109,,,,,,,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...625A..31H/abstract target=ref>Heller et al. 2019</a>,,,0.84,0.86,,,,,,2.0,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h49m42.24s,252.426008,-19d32m34.98s,-19.5430504,15.80164,0.54581,2.89203,253.4468,56.1485729,-16.5975,-53.6394,157.682,6.31369,13.267,12.304,10.404,9.993,9.821,,,,,,9.754,9.787,9.887,8.412,12.0036,,11.3692,12.005,03/06/2019,2019-05,13/06/2019,1,0,0,0,0,0
1378,4454,K2-320 b,K2-320,b,,,TIC 281748980,Gaia DR2 3864142669886768896,1,1,1,0,0,Transit,2020,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.5416C/abstract target=ref>Castro Gonz&aacute;lez et al. 2020</a>,2020-12,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.5416C/abstract target=ref>Castro Gonz&aacute;lez et al. 2020</a>,1.995,0.0142,2.62,0.234,,,,,,,,,,,,,698.0,87.84,2457908.602,BJD,0,0.49,0.557,,,,,,,,,,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.5416C/abstract target=ref>Castro Gonz&aacute;lez et al. 2020</a>,,3157.0,0.3,0.12,,,,4.55,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h53m00.46s,163.2519122,+05d18m23.32s,5.3064776,54.35434,245.35216,-1.67798,162.53225,68.8267189,-58.4369,-36.3627,108.74,9.16867,19.667,17.81,13.411,12.823,12.508,21.259,18.5644,17.0851,15.6258,14.8441,12.343,12.179,11.773,8.918,16.3554,,15.0356,15.798,09/09/2020,2020-12,16/09/2020,0,0,0,0,0,0
1379,4455,K2-321 b,K2-321,b,,,TIC 277833995,Gaia DR2 3856449627544923392,1,1,1,0,0,Transit,2020,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.5416C/abstract target=ref>Castro Gonz&aacute;lez et al. 2020</a>,2020-12,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.5416C/abstract target=ref>Castro Gonz&aacute;lez et al. 2020</a>,2.298,0.041,1.95,0.174,,,,,,,,,,,,,701.0,88.94,2457909.17,BJD,0,0.28,0.11,,,,,,,,,,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.5416C/abstract target=ref>Castro Gonz&aacute;lez et al. 2020</a>,,3855.0,0.58,0.6,,,,4.68,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h25m37.32s,156.4054989,+02d30m49.98s,2.5138829,47.32067,241.80874,-6.82396,157.22781,120.4876494,50.9222,-109.198,77.6888,12.8433,15.127,13.677,10.462,9.796,9.567,17.464,15.4725,13.2803,12.3114,12.6375,9.437,9.458,9.349,8.783,12.8241,,11.758,12.84,09/09/2020,2020-12,16/09/2020,0,0,0,0,0,0
1381,4457,K2-322 b,K2-322,b,,,TIC 277869696,Gaia DR2 3860369901894562304,1,1,1,0,0,Transit,2020,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.5416C/abstract target=ref>Castro Gonz&aacute;lez et al. 2020</a>,2020-12,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.5416C/abstract target=ref>Castro Gonz&aacute;lez et al. 2020</a>,8.205,0.0594,1.92,0.171,,,,,,,,,,,,,635.0,88.15,2457914.022,BJD,0,0.68,0.071,,,,,,,,,,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.5416C/abstract target=ref>Castro Gonz&aacute;lez et al. 2020</a>,,4141.0,0.6,0.63,,,,4.68,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h26m29.45s,156.6226981,+04d45m50.47s,4.7640203,48.87164,239.34592,-4.65108,156.6012,16.5163291,-16.3044,-2.63736,123.415,8.07382,15.317,13.963,11.194,10.569,10.413,17.3324,14.9251,14.7843,16.9892,12.6077,10.318,10.339,10.165,8.558,13.3108,,12.3882,13.307,09/09/2020,2020-12,16/09/2020,0,0,0,0,0,0
1382,4458,K2-323 b,K2-323,b,,,TIC 392852196,Gaia DR2 3859431674878660864,1,1,1,0,0,Transit,2020,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.5416C/abstract target=ref>Castro Gonz&aacute;lez et al. 2020</a>,2020-12,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.5416C/abstract target=ref>Castro Gonz&aacute;lez et al. 2020</a>,24.93,0.1275,2.1,0.187,,,,,,,,,,,,,318.0,89.88,2457914.251,BJD,0,0.14,0.263,,,,,,,,,,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.5416C/abstract target=ref>Castro Gonz&aacute;lez et al. 2020</a>,,3710.0,0.55,0.48,,,,4.63,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h37m41.04s,159.4209874,+06d17m09.13s,6.2858689,52.01163,240.07252,-2.20776,158.63071,20.5899921,-11.1627,-17.3015,118.318,8.42309,16.438,14.935,11.648,11.002,10.789,18.4026,15.7515,14.352,16.448,12.9146,10.693,10.638,10.559,8.753,14.0693,,12.9946,14.132,09/09/2020,2020-12,16/09/2020,0,0,0,0,0,0
1383,4459,K2-324 b,K2-324,b,,,TIC 392817207,Gaia DR2 3862378262961788288,1,1,1,0,0,Transit,2020,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.5416C/abstract target=ref>Castro Gonz&aacute;lez et al. 2020</a>,2020-12,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.5416C/abstract target=ref>Castro Gonz&aacute;lez et al. 2020</a>,3.262,0.0331,2.43,0.217,,,,,,,,,,,,,707.0,88.33,2457909.146,BJD,0,0.42,0.199,,,,,,,,,,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.5416C/abstract target=ref>Castro Gonz&aacute;lez et al. 2020</a>,,3752.0,0.51,0.52,,,,4.74,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h30m29.33s,157.6222171,+06d51m49.22s,6.8636732,50.91389,237.62638,-2.33299,156.75539,17.9915696,-17.142,-5.46337,136.667,7.28967,16.783,15.223,12.092,11.457,11.237,18.6682,16.1672,14.7297,14.1522,13.3503,11.117,11.07,11.181,8.627,14.5172,,13.4415,14.509,09/09/2020,2020-12,16/09/2020,0,0,0,0,0,0
1384,4460,K2-325 b,K2-325,b,,,TIC 8918021,Gaia DR2 2439222638771000448,1,1,1,0,0,Transit,2020,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.5416C/abstract target=ref>Castro Gonz&aacute;lez et al. 2020</a>,2020-12,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.5416C/abstract target=ref>Castro Gonz&aacute;lez et al. 2020</a>,6.93,0.0419,2.2,0.196,,,,,,,,,,,,,423.0,89.37,2457743.818,BJD,0,0.34,0.672,,,,,,,,,,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.5416C/abstract target=ref>Castro Gonz&aacute;lez et al. 2020</a>,,3287.0,0.3,0.27,,,,4.84,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h35m40.07s,353.9169507,-07d41m12.20s,-7.6867213,-63.53633,76.71995,-4.64293,351.37021,42.2232918,-1.86914,-42.1819,111.638,8.92982,19.365,17.77,13.177,12.595,12.352,,,,,,12.17,12.007,11.556,8.353,16.137,,14.8139,16.278,09/09/2020,2020-12,16/09/2020,0,0,0,0,0,0
1385,4461,K2-326 b,K2-326,b,,,TIC 422487869,Gaia DR2 2645727449501559680,1,1,1,0,0,Transit,2020,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.5416C/abstract target=ref>Castro Gonz&aacute;lez et al. 2020</a>,2020-12,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.5416C/abstract target=ref>Castro Gonz&aacute;lez et al. 2020</a>,1.256,0.0198,2.28,0.203,,,,,,,,,,,,,1114.0,85.63,2457739.045,BJD,0,0.48,0.0921,,,,,,,,,,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.5416C/abstract target=ref>Castro Gonz&aacute;lez et al. 2020</a>,,3924.0,0.69,0.51,,,,4.46,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h26m26.94s,351.612262,+01d20m15.33s,1.3375909,-54.94703,83.82219,4.55554,352.82461,22.6698856,22.3221,3.9557,282.308,3.5139,17.025,15.982,12.977,12.231,12.091,,,,,,11.984,12.047,11.702,8.255,15.0082,,14.1516,14.867,09/09/2020,2020-12,16/09/2020,0,0,0,0,0,0
1386,4462,K2-329 b,K2-329,b,,,TIC 301258470,Gaia DR2 2632880927441296640,1,1,1,0,0,Transit,2020,<a refstr=SHA_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...82S/abstract target=ref>Sha et al. 2021</a>,2021-02,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,1,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=SHA_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...82S/abstract target=ref>Sha et al. 2021</a>,12.4551225,0.1016,8.676,0.774,82.6358,0.26,82.6358,0.26,82.643,0.26002,82.6358,0.26,Mass,0.694,0.0697,45.7,650.0,89.22,2457773.157,BJD,0,0.364,,3.621,26.62,0.09679,,,161.0,24.6,,,<a refstr=SHA_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...82S/abstract target=ref>Sha et al. 2021</a>,,5282.0,0.82,0.9,0.098,[Fe/H],-0.325,4.57,1.8,2.3,1.9,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h24m32.49s,351.1353785,-05d09m50.92s,-5.1641451,-59.8217,75.76637,-1.23386,349.82502,18.8212481,14.1687,-12.389,233.237,4.25907,13.542,12.697,11.174,10.798,10.668,15.2923,13.2854,12.5277,12.34,12.8457,10.615,10.682,10.553,9.089,12.4462,,11.9039,12.463,13/11/2020,2021-02,19/11/2020,0,0,0,0,0,0
1387,4463,K2-33 b,K2-33,b,,,TIC 49040478,Gaia DR2 6245758900889486720,0,1,1,0,0,Transit,2016,<a refstr=DAVID_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.534..658D/abstract target=ref>David et al. 2016</a>,2016-06,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,5.4252061,,0.868,0.077,,,,,,,,,,,,,,,2456898.69,BJD,0,0.46,0.263,4.27,,0.04747,,,,,,,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,2890.0,0.16,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h10m14.73s,242.5613635,-19d19m09.78s,-19.3193831,23.10048,354.42038,1.6971,244.21209,25.8767082,-9.70908,-23.9862,139.268,7.153,17.353,15.838,11.095,10.332,10.026,19.5515,16.452,14.8454,13.6681,12.6126,9.89,9.762,9.61,8.412,14.157,,12.9895,14.357,05/12/2015,2016-01,05/12/2015,0,0,0,0,0,0
1392,4468,K2-330 b,K2-330,b,,,TIC 366484980,Gaia DR2 601159910928534144,1,1,1,0,0,Transit,2016,<a refstr=POPE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.461.3399P/abstract target=ref>Pope et al. 2016</a>,2016-10,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>,13.774798,,2.77,0.247,,,,,,,,,,,,,969.0,,2457151.064,BJD,0,0.38,,4.57,21.76,0.0169,,,,,,,<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>,,6232.0,1.5,1.23,-0.03,[Fe/H],,4.18,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h27m35.24s,126.8968265,+11d40m02.69s,11.6674131,26.567,213.0547,-7.23815,126.34843,28.5672002,-24.8867,-14.0263,160.125,6.217,10.174,9.608,8.668,8.46,8.412,,,,,,8.351,8.387,8.367,8.143,9.51275,,9.15722,9.709,23/08/2021,2021-08,23/08/2021,0,0,0,0,0,0
1398,4474,K2-331 b,K2-331,b,,,TIC 46296576,Gaia DR2 608206676654888064,1,1,2,0,0,Transit,2021,<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>,2021-08,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>,9.398977,,1.79,0.16,,,,,,,,,,,,,909.0,,2458100.92,BJD,0,0.43,,3.92,16.76,0.0155,,,,,,,<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>,,5994.0,1.06,1.1,0.08,[Fe/H],,4.43,,,,9.98,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h50m57.03s,132.7376431,+13d10m12.97s,13.170269,32.3837,214.18022,-4.3257,131.50458,20.9050377,-5.8935,-20.0571,211.43,4.70117,12.31,11.305,10.159,9.893,9.804,15.5371,11.803,11.1771,11.0635,13.6315,9.775,9.815,9.773,8.833,11.1945,,10.7578,11.617,23/08/2021,2021-08,23/08/2021,0,0,0,0,0,0
1399,4475,K2-331 c,K2-331,c,,,TIC 46296576,Gaia DR2 608206676654888064,1,1,2,0,0,Transit,2018,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,2018-07,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>,22.996591,,2.72,0.243,,,,,,,,,,,,,673.0,,2458113.305,BJD,0,0.37,,4.43,37.87,0.0235,,,,,,,<a refstr=DE_LEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.2120D/abstract target=ref>de Leon et al. 2021</a>,,5994.0,1.06,1.1,0.08,[Fe/H],,4.43,,,,9.98,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h50m57.03s,132.7376431,+13d10m12.97s,13.170269,32.3837,214.18022,-4.3257,131.50458,20.9050377,-5.8935,-20.0571,211.43,4.70117,12.31,11.305,10.159,9.893,9.804,15.5371,11.803,11.1771,11.0635,13.6315,9.775,9.815,9.773,8.833,11.1945,,10.7578,11.617,23/08/2021,2021-08,23/08/2021,0,0,0,0,0,0
