rowid,pl_name,hostname,period,system_no_of_planets,T0,T0_unit,Author
2556,HD 221416 b,HD 221416,14.278122,1,58356.51405,MJD,
2590,HD 23472 b,HD 23472,17.667,5,58360.1641,MJD,
2593,HD 23472 c,HD 23472,29.625,5,58339.80377,MJD,
2596,HD 23472 d,HD 23472,3.97664,5,58325.5282,MJD,
2598,HD 23472 e,HD 23472,7.90767225,5,58330.33751,MJD,
2600,HD 23472 f,HD 23472,12.1621839,5,58335.24586,MJD,
2627,HD 260655 b,HD 260655,2.7695085,2,59497.4102,MJD,
2629,HD 260655 c,HD 260655,5.7057959,2,59489.8646,MJD,
2635,HD 2685 b,HD 2685,4.12688,1,59084.63414,MJD,
2651,HD 28109 b,HD 28109,22.89104,3,58344.3114,MJD,
2653,HD 28109 c,HD 28109,56.00819,3,58336.71643,MJD,
2655,HD 28109 d,HD 28109,84.25999,3,58355.15677,MJD,
2703,HD 3167 b,HD 3167,0.95965428,4,58269.07891,MJD,
2712,HD 3167 c,HD 3167,29.8464948,4,58439.1051,MJD,
2737,HD 332231 b,HD 332231,18.711674,1,59814.46552,MJD,
2931,HD 5278 b,HD 5278,14.339156,2,58680.19932,MJD,
2948,HD 56414 b,HD 56414,29.04992,1,58347.81929,MJD,
2966,HD 63433 b,HD 63433,7.10793,2,58915.95142,MJD,
2969,HD 63433 c,HD 63433,20.54381533,2,58843.55824,MJD,
2977,HD 63935 b,HD 63935,9.058811,2,58493.9462,MJD,
3051,HD 73583 b,HD 73583,6.398042,2,58517.19013,MJD,
3053,HD 73583 c,HD 73583,18.87974,2,59231.6682,MJD,
3111,HD 80653 b,HD 80653,0.719573,1,58133.9244,MJD,
3165,HD 86226 c,HD 86226,3.98467677,2,58542.7539,MJD,
3190,HD 89345 b,HD 89345,11.81399,1,57913.30316,MJD,
3214,HD 93963 A b,HD 93963 A,1.0376109,2,58900.7774,MJD,
3216,HD 93963 A c,HD 93963 A,3.6451549,2,58902.37274,MJD,
3292,HIP 116454 b,HIP 116454,9.1205,1,,,
3315,HIP 41378 b,HIP 41378,15.572098,5,57151.7818,MJD,
3318,HIP 41378 c,HIP 41378,31.71802083,5,57162.6609,MJD,
3321,HIP 41378 d,HIP 41378,48.1,5,57165.7629,MJD,
3325,HIP 41378 e,HIP 41378,131,5,57141.51656,MJD,
3327,HIP 41378 f,HIP 41378,1084,5,57186.41451,MJD,
3348,HIP 65 A b,HIP 65 A,0.981,1,58325.60258,MJD,
3356,HIP 67522 b,HIP 67522,6.959503,1,58603.52371,MJD,
3384,HIP 94235 b,HIP 94235,7.712121,1,59037.37149,MJD,
3388,HIP 97166 b,HIP 97166,10.2888974,2,58691.1486,MJD,
3400,HR 858 b,HR 858,3.58599,3,58408.68969,MJD,
3402,HR 858 c,HR 858,5.97293,3,58415.1344,MJD,
3404,HR 858 d,HR 858,11.23046048,3,58409.2328,MJD,
3425,K2-10 b,K2-10,19.30481,1,56819.0775,MJD,K2
3432,K2-100 b,K2-100,1.67344228,1,57140.21941,MJD,K2
3443,K2-101 b,K2-101,14.675828,1,57152.18499,MJD,K2
3450,K2-102 b,K2-102,9.915615,1,57139.15518,MJD,K2
3452,K2-104 b,K2-104,1.974238,1,57139.87998,MJD,K2
3460,K2-105 b,K2-105,8.267084,1,57147.48957,MJD,K2
3469,K2-107 b,K2-107,3.31392,1,57304.02451,MJD,K2
3474,K2-108 b,K2-108,4.733999,1,57139.8649,MJD,K2
3481,K2-11 b,K2-11,39.8478,1,56829.3511,MJD,K2
3485,K2-110 b,K2-110,13.85870316,1,57219.37496,MJD,K2
3492,K2-111 b,K2-111,5.35185,2,57099.5768,MJD,K2
3498,K2-113 b,K2-113,5.8175986,1,57392.38605,MJD,K2
3503,K2-114 b,K2-114,11.391013,1,57663.80683,MJD,K2
3512,K2-115 b,K2-115,20.27362337,1,57156.6572,MJD,K2
3521,K2-116 b,K2-116,4.655335,1,56979.448,MJD,K2
3524,K2-117 b,K2-117,1.291563,2,57139.69095,MJD,K2
3532,K2-117 c,K2-117,5.444017,2,57143.0638,MJD,K2
3537,K2-118 b,K2-118,50.92092,1,57159.9701,MJD,K2
3539,K2-119 b,K2-119,7.7285,1,57140.5984,MJD,K2
3545,K2-12 b,K2-12,8.28176,1,56814.8732,MJD,K2
3550,K2-120 b,K2-120,9.562742,1,57175.104,MJD,K2
3553,K2-121 b,K2-121,5.1857547,1,57143.06058,MJD,K2
3562,K2-122 b,K2-122,2.219,1,57141.33005,MJD,K2
3570,K2-123 b,K2-123,30.951524,1,57146.9926,MJD,K2
3578,K2-124 b,K2-124,6.414,1,57141.68149,MJD,K2
3585,K2-125 b,K2-125,21.750264,1,57242.588,MJD,K2
3586,K2-126 b,K2-126,7.387066,1,57223.294,MJD,K2
3593,K2-127 b,K2-127,3.588165,1,57223.426,MJD,K2
3598,K2-128 b,K2-128,5.675819,1,57255.003,MJD,K2
3601,K2-129 b,K2-129,8.23981,1,57334.509,MJD,K2
3603,K2-13 b,K2-13,40.062771,1,56812.0259,MJD,K2
3606,K2-130 b,K2-130,2.49412,1,57340.112,MJD,K2
3609,K2-131 b,K2-131,0.369,1,57604.59575,MJD,K2
3615,K2-132 b,K2-132,9.1708,1,57589.66961,MJD,K2
3620,K2-133 b,K2-133,3.0712,4,57820.8168,MJD,K2
3622,K2-133 c,K2-133,4.86784,4,57823.2686,MJD,K2
3624,K2-133 d,K2-133,11.0234,4,57825.6739,MJD,K2
3626,K2-133 e,K2-133,26.5841,4,57837.3657,MJD,K2
3627,K2-136 b,K2-136,7.9757,3,57817.25631,MJD,K2
3629,K2-136 c,K2-136,17.307137,3,57829.52487,MJD,K2
3633,K2-136 d,K2-136,25.575065,3,57831.461,MJD,K2
3635,K2-137 b,K2-137,0.179719,1,57582.5242,MJD,K2
3637,K2-138 b,K2-138,2.35322,6,57772.81683,MJD,K2
3640,K2-138 c,K2-138,3.56004,6,57739.82182,MJD,K2
3643,K2-138 d,K2-138,5.40479,6,57742.65989,MJD,K2
3646,K2-138 e,K2-138,8.26144,6,57740.14558,MJD,K2
3649,K2-138 f,K2-138,12.75758,6,57738.20235,MJD,K2
3652,K2-138 g,K2-138,41.96797,6,57773.3541,MJD,K2
3654,K2-139 b,K2-139,28.382206,1,57325.31726,MJD,K2
3659,K2-14 b,K2-14,8.36779,1,56810.95284,MJD,K2
3664,K2-140 b,K2-140,6.5693,1,57587.78509,MJD,K2
3668,K2-141 b,K2-141,0.2803244,2,57743.5716,MJD,K2
3671,K2-141 c,K2-141,7.7485,2,57750.6546,MJD,K2
3672,K2-146 b,K2-146,2.645,2,58204.0902,MJD,K2
3681,K2-146 c,K2-146,3.9663,2,58203.6316,MJD,K2
3683,K2-147 b,K2-147,0.961917,1,57327.41683,MJD,K2
3686,K2-148 b,K2-148,4.38395,3,57393.9473,MJD,K2
3688,K2-148 c,K2-148,6.9226,3,57394.1522,MJD,K2
3690,K2-148 d,K2-148,9.75833,3,57395.5988,MJD,K2
3692,K2-149 b,K2-149,11.332,1,57387.83834,MJD,K2
3693,K2-15 b,K2-15,11.808398,1,56811.3513,MJD,K2
3697,K2-150 b,K2-150,10.59366,1,57402.0547,MJD,K2
3699,K2-151 b,K2-151,3.835476,1,57390.90166,MJD,K2
3703,K2-152 b,K2-152,32.6479,1,57575.46234,MJD,K2
3705,K2-153 b,K2-153,7.51554,1,57580.41718,MJD,K2
3707,K2-154 b,K2-154,3.67635,2,57580.87866,MJD,K2
3709,K2-154 c,K2-154,7.95486,2,57575.88098,MJD,K2
3711,K2-155 b,K2-155,6.342,3,57818.2153,MJD,K2
3713,K2-155 c,K2-155,13.85,3,57814.0643,MJD,K2
3716,K2-155 d,K2-155,40.6835,3,57782.3324,MJD,K2
3718,K2-156 b,K2-156,0.81314,1,57641.17248,MJD,K2
3721,K2-157 b,K2-157,0.365261,1,57638.2224,MJD,K2
3723,K2-158 b,K2-158,10.06049,2,57589.9834,MJD,K2
3725,K2-158 c,K2-158,5.90279,2,57583.3828,MJD,K2
3726,K2-159 b,K2-159,12.421078,1,57586.01467,MJD,K2
3728,K2-16 b,K2-16,7.62067,3,56811.1773,MJD,K2
3733,K2-16 c,K2-16,19.07863,3,56828.0663,MJD,K2
3738,K2-160 b,K2-160,3.705871,1,57585.16638,MJD,K2
3739,K2-161 b,K2-161,9.283188,1,57587.34755,MJD,K2
3740,K2-162 b,K2-162,9.45889,1,57583.4076,MJD,K2
3742,K2-163 b,K2-163,6.673117,1,57582.34838,MJD,K2
3743,K2-164 b,K2-164,17.355066,1,56816.23696,MJD,K2
3746,K2-165 b,K2-165,2.354992,3,57583.98273,MJD,K2
3747,K2-165 c,K2-165,4.382745,3,57583.71311,MJD,K2
3748,K2-165 d,K2-165,14.101361,3,57586.2581,MJD,K2
3750,K2-166 b,K2-166,8.527219,2,57586.26683,MJD,K2
3752,K2-167 b,K2-167,9.975403,1,57348.6397,MJD,K2
3757,K2-168 b,K2-168,15.853989,2,56974.53774,MJD,K2
3761,K2-169 b,K2-169,6.38092,1,56981.5095,MJD,K2
3764,K2-17 b,K2-17,17.9654,1,56817.4472,MJD,K2
3770,K2-170 b,K2-170,7.5767206,2,56978.1141,MJD,K2
3773,K2-170 c,K2-170,12.400731,2,56985.1641,MJD,K2
3776,K2-171 b,K2-171,5.6315915,1,56978.96712,MJD,K2
3779,K2-172 b,K2-172,14.316941,2,56981.79487,MJD,K2
3782,K2-172 c,K2-172,29.626402,2,56993.0402,MJD,K2
3786,K2-173 b,K2-173,5.868699,1,57066.64113,MJD,K2
3788,K2-174 b,K2-174,19.56236,1,57083.27917,MJD,K2
3795,K2-175 b,K2-175,9.525988,1,57072.77684,MJD,K2
3796,K2-176 b,K2-176,5.32944,1,57066.28593,MJD,K2
3798,K2-177 b,K2-177,14.155185,1,57069.58022,MJD,K2
3799,K2-178 b,K2-178,8.747818,1,57069.83654,MJD,K2
3801,K2-179 b,K2-179,5.172191,1,57066.08058,MJD,K2
3804,K2-18 b,K2-18,32.939623,2,57725.05119,MJD,K2
3815,K2-180 b,K2-180,8.86638,1,57142.89595,MJD,K2
3823,K2-181 b,K2-181,6.894287,1,57143.2935,MJD,K2
3829,K2-182 b,K2-182,4.736893,1,57145.44201,MJD,K2
3838,K2-183 b,K2-183,0.469287,3,57139.1618,MJD,K2
3841,K2-183 c,K2-183,10.793471,3,57147.2772,MJD,K2
3848,K2-183 d,K2-183,22.6302,3,57143.6526,MJD,K2
3853,K2-184 b,K2-184,16.996,1,57148.02534,MJD,K2
3860,K2-185 b,K2-185,10.616384,2,57144.22709,MJD,K2
3863,K2-185 c,K2-185,52.713494,2,57158.6568,MJD,K2
3866,K2-186 b,K2-186,41.474219,1,57154.347,MJD,K2
3868,K2-187 b,K2-187,0.773981,4,57183.93637,MJD,K2
3872,K2-187 c,K2-187,2.871348,4,57144.13842,MJD,K2
3877,K2-187 d,K2-187,7.149079,4,57203.02085,MJD,K2
3884,K2-187 e,K2-187,13.608511,4,57140.9772,MJD,K2
3889,K2-188 b,K2-188,1.742983,2,57141.71335,MJD,K2
3891,K2-188 c,K2-188,7.81110453,2,57144.36605,MJD,K2
3898,K2-189 b,K2-189,5.1763,2,57252.70439,MJD,K2
3901,K2-189 c,K2-189,6.679224,2,57222.9198,MJD,K2
3907,K2-19 b,K2-19,7.91943,3,56860.4023,MJD,K2
3921,K2-19 c,K2-19,11.907625,3,56852.5007,MJD,K2
3933,K2-19 d,K2-19,2.5084894,3,56853.5726,MJD,K2
3939,K2-190 b,K2-190,10.099,2,57224.26792,MJD,K2
3942,K2-190 c,K2-190,21.574023,2,57228.19256,MJD,K2
3943,K2-191 b,K2-191,2.858,1,57219.0594,MJD,K2
3947,K2-192 b,K2-192,4.162817,1,57219.9418,MJD,K2
3951,K2-193 b,K2-193,14.786,1,57223.75906,MJD,K2
3956,K2-194 b,K2-194,39.721386,1,57242.4988,MJD,K2
3959,K2-195 b,K2-195,15.852975,2,57224.5446,MJD,K2
3964,K2-195 c,K2-195,28.482786,2,57242.5235,MJD,K2
3966,K2-196 b,K2-196,48.324222,1,57227.39072,MJD,K2
3967,K2-197 b,K2-197,8.357954,1,57217.68296,MJD,K2
3972,K2-198 b,K2-198,17.0428683,3,57204.0687,MJD,K2
3976,K2-198 c,K2-198,3.3596055,3,57214.532,MJD,K2
3978,K2-198 d,K2-198,7.45,3,57220.52659,MJD,K2
3981,K2-199 b,K2-199,3.2253993,2,57218.23733,MJD,K2
3987,K2-199 c,K2-199,7.374689,2,57222.43034,MJD,K2
3993,K2-200 b,K2-200,2.85009,1,57218.0553,MJD,K2
3996,K2-201 b,K2-201,1.05979,2,57301.4847,MJD,K2
3998,K2-201 c,K2-201,22.7768,2,57319.2875,MJD,K2
4000,K2-202 b,K2-202,3.405087,1,57303.7522,MJD,K2
4002,K2-203 b,K2-203,9.6897,1,57396.1577,MJD,K2
4004,K2-204 b,K2-204,7.055784,1,57396.0064,MJD,K2
4006,K2-205 b,K2-205,26.672263,1,57412.9025,MJD,K2
4008,K2-206 b,K2-206,18.294549,1,57396.07661,MJD,K2
4009,K2-207 b,K2-207,12.4904,1,57403.1429,MJD,K2
4011,K2-208 b,K2-208,4.190948,1,57396.01164,MJD,K2
4013,K2-209 b,K2-209,2.080615,1,57393.7331,MJD,K2
4014,K2-21 b,K2-21,9.32448,2,39999.5,MJD,K2
4019,K2-21 c,K2-21,15.50192,2,39999.5,MJD,K2
4025,K2-210 b,K2-210,0.570233,1,57465.30382,MJD,K2
4027,K2-211 b,K2-211,0.669558,1,57395.32322,MJD,K2
4030,K2-212 b,K2-212,9.795546,1,57399.14109,MJD,K2
4036,K2-213 b,K2-213,8.13087,1,57398.50256,MJD,K2
4037,K2-214 b,K2-214,8.596531,1,57396.09938,MJD,K2
4041,K2-215 b,K2-215,8.26947,1,57393.83,MJD,K2
4043,K2-216 b,K2-216,2.174789,1,57393.54171,MJD,K2
4049,K2-217 b,K2-217,14.0721,1,57394.50447,MJD,K2
4051,K2-218 b,K2-218,8.68055,1,57395.9588,MJD,K2
4053,K2-219 b,K2-219,3.9009,3,57392.3408,MJD,K2
4055,K2-219 c,K2-219,6.66767,3,57397.9167,MJD,K2
4057,K2-219 d,K2-219,11.13878,3,57404.09425,MJD,K2
4059,K2-22 b,K2-22,0.3810654,1,56810.6208,MJD,K2
4066,K2-220 b,K2-220,13.683256,1,57400.7699,MJD,K2
4070,K2-221 b,K2-221,2.398982,1,57392.4598,MJD,K2
4072,K2-222 b,K2-222,15.387063,1,57398.55993,MJD,K2
4076,K2-223 b,K2-223,0.50557,2,57637.16396,MJD,K2
4079,K2-223 c,K2-223,4.564169,2,57628.11208,MJD,K2
4082,K2-224 b,K2-224,4.478591,2,57585.17412,MJD,K2
4084,K2-224 c,K2-224,10.09489,2,57587.90888,MJD,K2
4086,K2-225 b,K2-225,15.871455,1,57586.86823,MJD,K2
4088,K2-226 b,K2-226,3.27108,1,57583.52613,MJD,K2
4090,K2-227 b,K2-227,13.621832,1,57591.73831,MJD,K2
4091,K2-228 b,K2-228,2.698368,1,57582.69285,MJD,K2
4093,K2-229 b,K2-229,0.584216,2,57646.06655,MJD,K2
4098,K2-229 c,K2-229,8.32834,2,57585.83508,MJD,K2
4101,K2-230 b,K2-230,2.86041,1,57584.94963,MJD,K2
4103,K2-231 b,K2-231,13.841901,1,57305.6493,MJD,K2
4105,K2-232 b,K2-232,11.1684037,1,57858.35681,MJD,K2
4108,K2-233 b,K2-233,2.46746,3,57991.19112,MJD,K2
4110,K2-233 c,K2-233,7.06142,3,57995.8522,MJD,K2
4112,K2-233 d,K2-233,24.3662,3,58005.08237,MJD,K2
4114,K2-237 b,K2-237,2.18056,1,57655.96338,MJD,K2
4121,K2-238 b,K2-238,3.20466,1,57740.0036,MJD,K2
4123,K2-239 b,K2-239,5.24,3,57907.691,MJD,K2
4124,K2-239 c,K2-239,7.775,3,57916.36,MJD,K2
4125,K2-239 d,K2-239,10.115,3,57907.881,MJD,K2
4126,K2-24 b,K2-24,20.885016,2,56905.29581,MJD,K2
4134,K2-24 c,K2-24,42.36342,2,56957.48832,MJD,K2
4142,K2-240 b,K2-240,6.034,2,57996.325,MJD,K2
4143,K2-240 c,K2-240,20.523,2,58005.222,MJD,K2
4144,K2-241 b,K2-241,26.8199,1,57583.7063,MJD,K2
4145,K2-242 b,K2-242,6.51389,1,57585.74,MJD,K2
4146,K2-243 b,K2-243,11.54182,2,57592.7062,MJD,K2
4147,K2-243 c,K2-243,24.94598,2,57584.005,MJD,K2
4148,K2-244 b,K2-244,21.070201,1,57587.978,MJD,K2
4150,K2-245 b,K2-245,11.89307,1,57587.0524,MJD,K2
4151,K2-246 b,K2-246,5.76918,1,57583.1761,MJD,K2
4152,K2-247 b,K2-247,2.25021,2,57582.477,MJD,K2
4153,K2-247 c,K2-247,6.49424,2,57587.6369,MJD,K2
4154,K2-248 b,K2-248,7.17256,1,57587.6042,MJD,K2
4155,K2-249 b,K2-249,12.409,1,57582.5457,MJD,K2
4156,K2-25 b,K2-25,3.48475283,1,,,K2
4161,K2-250 b,K2-250,4.01457,1,57583.6212,MJD,K2
4162,K2-251 b,K2-251,9.30075,1,57588.5782,MJD,K2
4163,K2-252 b,K2-252,13.81513,1,57595.6901,MJD,K2
4164,K2-253 b,K2-253,4.00167,1,57583.4993,MJD,K2
4166,K2-254 b,K2-254,4.09639,2,57582.4757,MJD,K2
4167,K2-254 c,K2-254,12.11839,2,57590.1136,MJD,K2
4168,K2-255 b,K2-255,1.96417,1,57582.8015,MJD,K2
4169,K2-256 b,K2-256,5.52011,1,57586.0247,MJD,K2
4170,K2-257 b,K2-257,1.60588,1,57582.7875,MJD,K2
4171,K2-258 b,K2-258,19.0921,1,57585.7928,MJD,K2
4172,K2-259 b,K2-259,15.48043,1,57585.20531,MJD,K2
4174,K2-26 b,K2-26,14.56594,1,56774.66503,MJD,K2
4179,K2-260 b,K2-260,2.6266657,1,57820.23814,MJD,K2
4183,K2-261 b,K2-261,11.63344,1,57976.14189,MJD,K2
4189,K2-263 b,K2-263,50.8213,1,58110.6274,MJD,K2
4192,K2-264 b,K2-264,5.83977,2,58101.59356,MJD,K2
4194,K2-264 c,K2-264,19.660302,2,58096.43729,MJD,K2
4196,K2-265 b,K2-265,2.3690438,1,56981.14577,MJD,K2
4202,K2-266 b,K2-266,0.658524,4,57949.1747,MJD,K2
4203,K2-266 c,K2-266,7.814,4,57946.151,MJD,K2
4204,K2-266 d,K2-266,14.697,4,57944.3393,MJD,K2
4206,K2-266 e,K2-266,19.48482567,4,57938.041,MJD,K2
4208,K2-268 b,K2-268,2.151894,5,57143.15428,MJD,K2
4211,K2-268 c,K2-268,9.326841,5,57140.34665,MJD,K2
4218,K2-268 d,K2-268,4.528598,5,57143.47465,MJD,K2
4220,K2-268 e,K2-268,6.13174,5,57141.8404,MJD,K2
4222,K2-268 f,K2-268,26.2678,5,57141.69174,MJD,K2
4224,K2-269 b,K2-269,4.144,1,57141.09855,MJD,K2
4228,K2-27 b,K2-27,6.77131,1,56812.34481,MJD,K2
4237,K2-270 b,K2-270,1.543041,2,57140.3716,MJD,K2
4240,K2-270 c,K2-270,4.4,2,57142.4791,MJD,K2
4246,K2-271 b,K2-271,8.562,1,57140.65021,MJD,K2
4252,K2-272 b,K2-272,14.4536756,1,57144.35413,MJD,K2
4259,K2-273 b,K2-273,11.716603,1,57148.59616,MJD,K2
4267,K2-274 b,K2-274,14.133427,1,57144.61126,MJD,K2
4275,K2-275 b,K2-275,3.2809626,2,57141.63396,MJD,K2
4283,K2-275 c,K2-275,8.438635,2,57141.98672,MJD,K2
4289,K2-276 b,K2-276,18.711,1,57151.3846,MJD,K2
4293,K2-277 b,K2-277,6.326796,1,57220.73116,MJD,K2
4300,K2-278 b,K2-278,3.335115,1,57219.3529,MJD,K2
4304,K2-279 b,K2-279,7.122297,1,57221.6244,MJD,K2
4308,K2-28 b,K2-28,2.260438,1,56979.75,MJD,K2
4315,K2-280 b,K2-280,19.895268,1,57307.08121,MJD,K2
4320,K2-281 b,K2-281,8.687721,1,57393.38141,MJD,K2
4323,K2-282 b,K2-282,4.169746,2,57394.4946,MJD,K2
4327,K2-283 b,K2-283,1.921076,1,57392.48603,MJD,K2
