rowid,pl_name,hostname,period,system_no_of_planets,T0,T0_unit,Author
9013,Kepler-125 b,Kepler-125,,2,55003.58676,MJD,Kepler
9028,Kepler-125 c,Kepler-125,5.77435869,2,54965.46118,MJD,Kepler
9041,Kepler-1250 b,Kepler-1250,2.60754383,1,54964.335,MJD,Kepler
9050,Kepler-1251 b,Kepler-1251,45.0910568,1,54966.06,MJD,Kepler
9060,Kepler-1252 b,Kepler-1252,15.0539886,1,54968.031,MJD,Kepler
9069,Kepler-1253 b,Kepler-1253,,1,54992.798,MJD,Kepler
9079,Kepler-1254 b,Kepler-1254,9.99113313,3,54966.893,MJD,Kepler
9088,Kepler-1254 c,Kepler-1254,3.60084276,3,54966.534,MJD,Kepler
9096,Kepler-1254 d,Kepler-1254,5.72717226,3,54966.464,MJD,Kepler
9104,Kepler-1255 b,Kepler-1255,36.290106,1,54964.678,MJD,Kepler
9114,Kepler-1256 b,Kepler-1256,12.4127754,1,54972.86,MJD,Kepler
9123,Kepler-1257 b,Kepler-1257,2.66831376,1,54964.189,MJD,Kepler
9132,Kepler-1258 b,Kepler-1258,0.98494017,1,54965.82,MJD,Kepler
9141,Kepler-1259 b,Kepler-1259,0.6630983,1,54964.479,MJD,Kepler
9150,Kepler-126 b,Kepler-126,10.49567752,3,55005.28966,MJD,Kepler
9162,Kepler-126 c,Kepler-126,21.86965714,3,54972.79159,MJD,Kepler
9174,Kepler-126 d,Kepler-126,100.2828693,3,55077.54434,MJD,Kepler
9186,Kepler-1260 b,Kepler-1260,19.1187753,1,54970.926,MJD,Kepler
9196,Kepler-1261 b,Kepler-1261,48.43135602,1,54973.96,MJD,Kepler
9206,Kepler-1262 b,Kepler-1262,8.67900242,1,54973.407,MJD,Kepler
9215,Kepler-1263 b,Kepler-1263,4.55139271,1,54965.56,MJD,Kepler
9224,Kepler-1264 b,Kepler-1264,0.96852602,1,54964.011,MJD,Kepler
9232,Kepler-1265 b,Kepler-1265,6.49441289,1,54964.75,MJD,Kepler
9241,Kepler-1266 b,Kepler-1266,28.474748,2,54987.082,MJD,Kepler
9251,Kepler-1266 c,Kepler-1266,4.86635506,2,55185.83846,MJD,Kepler
9258,Kepler-1267 b,Kepler-1267,13.0313945,1,54976.614,MJD,Kepler
9268,Kepler-1268 b,Kepler-1268,40.9905002,1,54964.914,MJD,Kepler
9278,Kepler-1269 b,Kepler-1269,37.3331536,1,54995.404,MJD,Kepler
9288,Kepler-127 b,Kepler-127,14.43577,3,54974.0114,MJD,Kepler
9300,Kepler-127 c,Kepler-127,29.39325141,3,55041.56708,MJD,Kepler
9312,Kepler-127 d,Kepler-127,48.62997,3,55005.04709,MJD,Kepler
9324,Kepler-1270 b,Kepler-1270,6.03355539,1,54969.619,MJD,Kepler
9334,Kepler-1271 b,Kepler-1271,3.02558494,1,54966.865,MJD,Kepler
9343,Kepler-1272 b,Kepler-1272,51.13233022,1,54969.68,MJD,Kepler
9353,Kepler-1273 b,Kepler-1273,28.62574565,1,54990.613,MJD,Kepler
9363,Kepler-1274 b,Kepler-1274,6.98172324,1,54965.27,MJD,Kepler
9372,Kepler-1275 b,Kepler-1275,3.656953,1,54967.454,MJD,Kepler
9381,Kepler-1276 b,Kepler-1276,12.57252273,1,54975.582,MJD,Kepler
9391,Kepler-1277 b,Kepler-1277,,1,54985.375,MJD,Kepler
9401,Kepler-1278 b,Kepler-1278,3.23941515,1,54966.484,MJD,Kepler
9410,Kepler-1279 b,Kepler-1279,23.4774101,1,54977.851,MJD,Kepler
9420,Kepler-128 b,Kepler-128,15.092,2,55008.45371,MJD,Kepler
9433,Kepler-128 c,Kepler-128,22.79519,2,54985.87541,MJD,Kepler
9446,Kepler-1280 b,Kepler-1280,66.5579057,1,55013.824,MJD,Kepler
9456,Kepler-1281 b,Kepler-1281,3.11602791,1,54966.354,MJD,Kepler
9464,Kepler-1282 b,Kepler-1282,2.13194651,1,54966.154,MJD,Kepler
9473,Kepler-1283 b,Kepler-1283,12.9462567,1,54971.921,MJD,Kepler
9482,Kepler-1284 b,Kepler-1284,0.66407414,1,54965.903,MJD,Kepler
9491,Kepler-1285 b,Kepler-1285,14.7967458,1,54975.238,MJD,Kepler
9501,Kepler-1286 b,Kepler-1286,11.25383712,1,54969.389,MJD,Kepler
9511,Kepler-1287 b,Kepler-1287,11.47685909,1,54972.13,MJD,Kepler
9520,Kepler-1288 b,Kepler-1288,2.76122421,1,54964.11,MJD,Kepler
9528,Kepler-1289 b,Kepler-1289,,1,54964.772,MJD,Kepler
9537,Kepler-129 b,Kepler-129,15.79196594,3,55009.32166,MJD,Kepler
9550,Kepler-129 c,Kepler-129,82.2000105,3,55041.28963,MJD,Kepler
9564,Kepler-1290 b,Kepler-1290,4.69505576,1,54966.44,MJD,Kepler
9573,Kepler-1291 b,Kepler-1291,8.63043276,1,54972.083,MJD,Kepler
9582,Kepler-1292 b,Kepler-1292,,1,54964.479,MJD,Kepler
9591,Kepler-1293 b,Kepler-1293,5.57654784,1,54968.928,MJD,Kepler
9600,Kepler-1294 b,Kepler-1294,115.6862258,1,55079.488,MJD,Kepler
9609,Kepler-1295 b,Kepler-1295,3.81371974,1,54965.071,MJD,Kepler
9618,Kepler-1296 b,Kepler-1296,8.38469,1,54966.912,MJD,Kepler
9626,Kepler-1297 b,Kepler-1297,1.68189051,1,54965.582,MJD,Kepler
9635,Kepler-1298 b,Kepler-1298,7.12811928,1,54969.383,MJD,Kepler
9645,Kepler-1299 b,Kepler-1299,19.9400874,1,54974.85,MJD,Kepler
9655,Kepler-130 b,Kepler-130,8.45746707,3,54971.56666,MJD,Kepler
9667,Kepler-130 c,Kepler-130,27.50867519,3,55014.60362,MJD,Kepler
9679,Kepler-130 d,Kepler-130,87.5174361,3,55033.65805,MJD,Kepler
9691,Kepler-1300 b,Kepler-1300,,1,54977.225,MJD,Kepler
9701,Kepler-1301 b,Kepler-1301,9.08233411,1,54972.15,MJD,Kepler
9710,Kepler-1302 b,Kepler-1302,8.83915,1,54968.047,MJD,Kepler
9719,Kepler-1303 b,Kepler-1303,,1,54968.136,MJD,Kepler
9728,Kepler-1304 b,Kepler-1304,,1,54976.254,MJD,Kepler
9737,Kepler-1305 b,Kepler-1305,13.5630972,1,54973.153,MJD,Kepler
9746,Kepler-1306 b,Kepler-1306,16.29582626,1,54966.409,MJD,Kepler
9755,Kepler-1307 b,Kepler-1307,18.01621096,1,54977.738,MJD,Kepler
9765,Kepler-1308 b,Kepler-1308,2.10434132,1,54965.815,MJD,Kepler
9774,Kepler-1309 b,Kepler-1309,28.84179,1,54976.322,MJD,Kepler
9783,Kepler-131 b,Kepler-131,16.09198058,2,55003.09795,MJD,Kepler
9794,Kepler-131 c,Kepler-131,25.51571026,2,54986.92342,MJD,Kepler
9805,Kepler-1310 b,Kepler-1310,0.67933627,1,54965.357,MJD,Kepler
9814,Kepler-1311 b,Kepler-1311,11.17268,3,54972.506,MJD,Kepler
9823,Kepler-1311 c,Kepler-1311,2.53574,3,54965.514,MJD,Kepler
9832,Kepler-1311 d,Kepler-1311,197.5107678,3,55104.88598,MJD,Kepler
9840,Kepler-1312 b,Kepler-1312,5.44832426,2,54964.99,MJD,Kepler
9850,Kepler-1312 c,Kepler-1312,1.11612717,2,54964.3456,MJD,Kepler
9857,Kepler-1313 b,Kepler-1313,3.83309118,1,54964.134,MJD,Kepler
9867,Kepler-1314 b,Kepler-1314,5.4247468,1,54966.229,MJD,Kepler
9876,Kepler-1315 b,Kepler-1315,0.84338011,2,54964.466,MJD,Kepler
9885,Kepler-1315 c,Kepler-1315,6.56606941,2,54966.9948,MJD,Kepler
9893,Kepler-1316 b,Kepler-1316,87.9732136,1,55000.789,MJD,Kepler
9902,Kepler-1317 b,Kepler-1317,0.5688763,1,54964.549,MJD,Kepler
9911,Kepler-1318 b,Kepler-1318,213.258526,1,55100.636,MJD,Kepler
9921,Kepler-1319 b,Kepler-1319,2.88676265,1,54964.166,MJD,Kepler
9932,Kepler-132 b,Kepler-132,6.17817366,4,55001.36198,MJD,Kepler
9943,Kepler-132 c,Kepler-132,6.41491277,4,55002.13908,MJD,Kepler
9954,Kepler-132 d,Kepler-132,18.010199,4,55011.92116,MJD,Kepler
9965,Kepler-132 e,Kepler-132,110.2865311,4,55071.719,MJD,Kepler
9973,Kepler-1320 b,Kepler-1320,0.86838653,1,54964.567,MJD,Kepler
9982,Kepler-1321 b,Kepler-1321,11.12830484,3,54972.042,MJD,Kepler
9992,Kepler-1321 c,Kepler-1321,2.2264962,3,54965.875,MJD,Kepler
10002,Kepler-1321 d,Kepler-1321,5.72084599,3,54967.16282,MJD,Kepler
10010,Kepler-1322 b,Kepler-1322,0.96286738,2,54964.624,MJD,Kepler
10019,Kepler-1322 c,Kepler-1322,6.46008273,2,54968.4646,MJD,Kepler
10026,Kepler-1323 b,Kepler-1323,0.92990668,1,54964.751,MJD,Kepler
10036,Kepler-1324 b,Kepler-1324,,1,54966.619,MJD,Kepler
10045,Kepler-1325 b,Kepler-1325,33.8786838,1,54992.718,MJD,Kepler
10055,Kepler-1326 b,Kepler-1326,42.3514267,1,54964.124,MJD,Kepler
10065,Kepler-1327 b,Kepler-1327,14.88777821,1,54974.438,MJD,Kepler
10074,Kepler-1328 b,Kepler-1328,4.52158888,1,54965.717,MJD,Kepler
10083,Kepler-1329 b,Kepler-1329,9.33646594,1,54973.181,MJD,Kepler
10093,Kepler-133 b,Kepler-133,8.12999858,2,54958.47047,MJD,Kepler
10104,Kepler-133 c,Kepler-133,31.51780202,2,55017.65322,MJD,Kepler
10115,Kepler-1330 b,Kepler-1330,10.10691725,1,54967.608,MJD,Kepler
10125,Kepler-1331 b,Kepler-1331,0.78916144,1,54964.005,MJD,Kepler
10134,Kepler-1332 b,Kepler-1332,,1,54972.714,MJD,Kepler
10144,Kepler-1333 b,Kepler-1333,109.6469948,1,55023.176,MJD,Kepler
10154,Kepler-1334 b,Kepler-1334,15.64591713,1,54978.548,MJD,Kepler
10164,Kepler-1335 b,Kepler-1335,6.26404134,1,54965.329,MJD,Kepler
10173,Kepler-1336 b,Kepler-1336,23.198681,2,54975.12,MJD,Kepler
10183,Kepler-1336 c,Kepler-1336,5.77721551,2,54969.667,MJD,Kepler
10192,Kepler-1337 b,Kepler-1337,24.4002549,1,54968.129,MJD,Kepler
10202,Kepler-1338 b,Kepler-1338,0.93511806,1,54964.699,MJD,Kepler
10211,Kepler-1339 b,Kepler-1339,1.34155513,1,54965.239,MJD,Kepler
10220,Kepler-134 b,Kepler-134,5.317429,2,55004.37608,MJD,Kepler
10231,Kepler-134 c,Kepler-134,10.10575384,2,54968.00716,MJD,Kepler
10242,Kepler-1340 b,Kepler-1340,0.66502692,1,54964.158,MJD,Kepler
10251,Kepler-1341 b,Kepler-1341,132.9956994,1,55090.886,MJD,Kepler
10261,Kepler-1342 b,Kepler-1342,2.21571036,1,54964.322,MJD,Kepler
10270,Kepler-1343 b,Kepler-1343,3.35184153,1,54964.148,MJD,Kepler
10279,Kepler-1344 b,Kepler-1344,4.76826326,1,54967.362,MJD,Kepler
10289,Kepler-1345 b,Kepler-1345,44.6169557,1,54996.945,MJD,Kepler
10299,Kepler-1346 b,Kepler-1346,3.40165617,1,54964.561,MJD,Kepler
10308,Kepler-1347 b,Kepler-1347,14.00948631,1,54965.472,MJD,Kepler
10317,Kepler-1348 b,Kepler-1348,27.57173142,1,54977.893,MJD,Kepler
10327,Kepler-1349 b,Kepler-1349,2.12823928,1,54964.971,MJD,Kepler
10336,Kepler-135 b,Kepler-135,,2,55004.21611,MJD,Kepler
10346,Kepler-135 c,Kepler-135,11.4485946,2,54973.88697,MJD,Kepler
10356,Kepler-1350 b,Kepler-1350,4.49683113,2,54966.706,MJD,Kepler
10366,Kepler-1350 c,Kepler-1350,1.76678906,2,54965.583,MJD,Kepler
10375,Kepler-1351 b,Kepler-1351,,1,54964.523,MJD,Kepler
10384,Kepler-1352 b,Kepler-1352,1.87788275,1,54964.762,MJD,Kepler
10393,Kepler-1353 b,Kepler-1353,24.7543849,1,54972.705,MJD,Kepler
10403,Kepler-1354 b,Kepler-1354,,1,54986.3,MJD,Kepler
10412,Kepler-1355 b,Kepler-1355,1.28959018,1,54964.392,MJD,Kepler
10421,Kepler-1356 b,Kepler-1356,0.63400294,1,54964.395,MJD,Kepler
10430,Kepler-1357 b,Kepler-1357,3.009121,1,54964.124,MJD,Kepler
10439,Kepler-1358 b,Kepler-1358,,1,54965.031,MJD,Kepler
10448,Kepler-1359 b,Kepler-1359,59.4970952,1,54979.45,MJD,Kepler
10457,Kepler-136 b,Kepler-136,11.5789114,2,55008.08649,MJD,Kepler
10469,Kepler-136 c,Kepler-136,16.39922,2,54964.46851,MJD,Kepler
10481,Kepler-1360 b,Kepler-1360,,1,55000.529,MJD,Kepler
10491,Kepler-1361 b,Kepler-1361,3.57551429,1,54965.358,MJD,Kepler
10500,Kepler-1362 b,Kepler-1362,136.205626,1,55067.224,MJD,Kepler
10510,Kepler-1363 b,Kepler-1363,,1,54965.607,MJD,Kepler
10519,Kepler-1364 b,Kepler-1364,13.32191461,1,54975.221,MJD,Kepler
10528,Kepler-1365 b,Kepler-1365,,2,54966.893,MJD,Kepler
10537,Kepler-1365 c,Kepler-1365,4.77468005,2,54967.661,MJD,Kepler
10546,Kepler-1366 b,Kepler-1366,2.16457097,1,54964.332,MJD,Kepler
10555,Kepler-1367 b,Kepler-1367,1.57409032,1,54964.362,MJD,Kepler
10564,Kepler-1368 b,Kepler-1368,0.67564698,1,54964.182,MJD,Kepler
10573,Kepler-1369 b,Kepler-1369,25.873148,1,54975.779,MJD,Kepler
10583,Kepler-137 b,Kepler-137,8.43638723,2,55012.3864,MJD,Kepler
10594,Kepler-137 c,Kepler-137,18.73574869,2,55010.13394,MJD,Kepler
10604,Kepler-1370 b,Kepler-1370,20.26416001,2,54967.782,MJD,Kepler
10614,Kepler-1370 c,Kepler-1370,,2,54970.246,MJD,Kepler
10623,Kepler-1371 b,Kepler-1371,3.4462125,2,54964.731,MJD,Kepler
10632,Kepler-1371 c,Kepler-1371,2.00541269,2,54965.746,MJD,Kepler
10640,Kepler-1372 b,Kepler-1372,1.31156295,1,54964.035,MJD,Kepler
10649,Kepler-1373 b,Kepler-1373,1.29123275,1,54964.489,MJD,Kepler
10658,Kepler-1374 b,Kepler-1374,10.65276707,1,54968.589,MJD,Kepler
10668,Kepler-1375 b,Kepler-1375,3.30040818,1,54966.064,MJD,Kepler
10677,Kepler-1376 b,Kepler-1376,5.30878648,1,54966.744,MJD,Kepler
10686,Kepler-1377 b,Kepler-1377,0.74092929,1,54964.409,MJD,Kepler
10694,Kepler-1378 b,Kepler-1378,11.95397791,1,54972.764,MJD,Kepler
10704,Kepler-1379 b,Kepler-1379,0.8818394,1,54964.191,MJD,Kepler
10713,Kepler-138 b,Kepler-138,10.31320643,4,54966.04425,MJD,Kepler
10728,Kepler-138 c,Kepler-138,13.78164,4,55685.62668,MJD,Kepler
10746,Kepler-138 d,Kepler-138,23.08902241,4,54957.32216,MJD,Kepler
10763,Kepler-1380 b,Kepler-1380,10.3108245,1,54974.012,MJD,Kepler
10772,Kepler-1381 b,Kepler-1381,25.3842686,1,54970.273,MJD,Kepler
10782,Kepler-1382 b,Kepler-1382,16.3583482,1,54973.757,MJD,Kepler
10791,Kepler-1383 b,Kepler-1383,13.9095,1,54975.382,MJD,Kepler
10800,Kepler-1384 b,Kepler-1384,15.3626052,1,54978.072,MJD,Kepler
10809,Kepler-1385 b,Kepler-1385,,1,54964.832,MJD,Kepler
10818,Kepler-1386 b,Kepler-1386,6.73998206,1,54964.786,MJD,Kepler
10827,Kepler-1387 b,Kepler-1387,2.279533,1,54965.858,MJD,Kepler
10836,Kepler-1388 b,Kepler-1388,12.2854718,4,54964.403,MJD,Kepler
10846,Kepler-1388 c,Kepler-1388,5.53610698,4,54964.386,MJD,Kepler
10856,Kepler-1388 d,Kepler-1388,20.9569985,4,54971.587,MJD,Kepler
10863,Kepler-1388 e,Kepler-1388,37.63436421,4,54991.332,MJD,Kepler
10870,Kepler-1389 b,Kepler-1389,99.2532336,1,54981.035,MJD,Kepler
10880,Kepler-139 b,Kepler-139,15.77111583,2,55017.40582,MJD,Kepler
10891,Kepler-139 c,Kepler-139,157.0659976,2,55313.76266,MJD,Kepler
10902,Kepler-1390 b,Kepler-1390,6.4802138,1,54965.36,MJD,Kepler
10911,Kepler-1391 b,Kepler-1391,54.40946555,1,55007.902,MJD,Kepler
10921,Kepler-1392 b,Kepler-1392,15.1408916,1,54976.239,MJD,Kepler
10930,Kepler-1393 b,Kepler-1393,2.44358543,1,54965.305,MJD,Kepler
10938,Kepler-1394 b,Kepler-1394,3.93766373,1,54967.778,MJD,Kepler
10947,Kepler-1395 b,Kepler-1395,3.78470649,1,54966.022,MJD,Kepler
10956,Kepler-1396 b,Kepler-1396,18.2206024,1,54973.874,MJD,Kepler
10966,Kepler-1397 b,Kepler-1397,47.4497134,1,55005.954,MJD,Kepler
10976,Kepler-1398 b,Kepler-1398,,2,54964.352,MJD,Kepler
10985,Kepler-1398 c,Kepler-1398,4.13827595,2,54965.729,MJD,Kepler
10994,Kepler-1399 b,Kepler-1399,,1,54964.79,MJD,Kepler
11003,Kepler-14 b,Kepler-14,6.7900918,1,54970.58737,MJD,Kepler
11015,Kepler-140 b,Kepler-140,3.25427,2,55005.16151,MJD,Kepler
11026,Kepler-140 c,Kepler-140,91.35110995,2,55022.10562,MJD,Kepler
11037,Kepler-1400 b,Kepler-1400,,1,54967.252,MJD,Kepler
11046,Kepler-1401 b,Kepler-1401,11.19948,1,54970.005,MJD,Kepler
11053,Kepler-1402 b,Kepler-1402,2.033876,1,54964.417,MJD,Kepler
11062,Kepler-1403 b,Kepler-1403,5.194928,1,54964.123,MJD,Kepler
11071,Kepler-1404 b,Kepler-1404,15.93138444,1,54974.311,MJD,Kepler
11081,Kepler-1405 b,Kepler-1405,28.22749654,1,54973.993,MJD,Kepler
11091,Kepler-1406 b,Kepler-1406,11.62905828,1,54965.32,MJD,Kepler
11099,Kepler-1407 b,Kepler-1407,20.0711504,1,54969.43,MJD,Kepler
11109,Kepler-1408 b,Kepler-1408,2.99792926,1,54964.267,MJD,Kepler
11118,Kepler-1409 b,Kepler-1409,0.76486493,1,54964.631,MJD,Kepler
11127,Kepler-141 b,Kepler-141,3.10762684,2,54965.13058,MJD,Kepler
11137,Kepler-141 c,Kepler-141,7.0106324,2,55007.07599,MJD,Kepler
11148,Kepler-1410 b,Kepler-1410,60.86616955,1,55011.785,MJD,Kepler
11158,Kepler-1411 b,Kepler-1411,86.1150888,1,54967.393,MJD,Kepler
11168,Kepler-1412 b,Kepler-1412,3.614599,1,54965.595,MJD,Kepler
11177,Kepler-1413 b,Kepler-1413,13.1829329,1,54974.325,MJD,Kepler
11186,Kepler-1414 b,Kepler-1414,,1,54966.798,MJD,Kepler
11195,Kepler-1415 b,Kepler-1415,0.63642408,1,54964.19,MJD,Kepler
11204,Kepler-1416 b,Kepler-1416,,1,54965.162,MJD,Kepler
11212,Kepler-1417 b,Kepler-1417,20.3504704,1,54975.256,MJD,Kepler
11221,Kepler-1418 b,Kepler-1418,22.4765952,1,54969.332,MJD,Kepler
11230,Kepler-1419 b,Kepler-1419,42.52296703,1,54968.629,MJD,Kepler
11240,Kepler-142 b,Kepler-142,2.02414559,3,55002.99468,MJD,Kepler
11251,Kepler-142 c,Kepler-142,4.76170526,3,55002.83543,MJD,Kepler
11262,Kepler-142 d,Kepler-142,41.80965969,3,54981.19926,MJD,Kepler
11273,Kepler-1420 b,Kepler-1420,,1,54966.647,MJD,Kepler
11282,Kepler-1421 b,Kepler-1421,,1,54970.924,MJD,Kepler
11291,Kepler-1422 b,Kepler-1422,18.60503,1,54981.533,MJD,Kepler
11300,Kepler-1423 b,Kepler-1423,23.9553986,1,54979.164,MJD,Kepler
11308,Kepler-1424 b,Kepler-1424,29.6091744,1,54969.836,MJD,Kepler
11316,Kepler-1425 b,Kepler-1425,14.4541302,1,54967.947,MJD,Kepler
11325,Kepler-1426 b,Kepler-1426,14.2561924,1,54965.905,MJD,Kepler
11333,Kepler-1427 b,Kepler-1427,0.96898078,1,54964.929,MJD,Kepler
11341,Kepler-1428 b,Kepler-1428,10.6761592,1,54973.092,MJD,Kepler
11351,Kepler-1429 b,Kepler-1429,,1,54967.528,MJD,Kepler
11360,Kepler-143 b,Kepler-143,16.00754,2,54975.13677,MJD,Kepler
11369,Kepler-143 c,Kepler-143,27.08216,2,55024.30613,MJD,Kepler
11379,Kepler-1430 b,Kepler-1430,2.46050993,1,54966.112,MJD,Kepler
11387,Kepler-1431 b,Kepler-1431,5.86601526,1,54968.856,MJD,Kepler
11396,Kepler-1432 b,Kepler-1432,,1,54983.032,MJD,Kepler
11405,Kepler-1433 b,Kepler-1433,4.13592927,1,54966.04,MJD,Kepler
11414,Kepler-1434 b,Kepler-1434,8.05333618,1,54967.46,MJD,Kepler
11423,Kepler-1435 b,Kepler-1435,4.45342368,1,54965.594,MJD,Kepler
11432,Kepler-1436 b,Kepler-1436,9.70542,1,54972.873,MJD,Kepler
11440,Kepler-1437 b,Kepler-1437,10.9295461,1,54973.995,MJD,Kepler
11449,Kepler-1438 b,Kepler-1438,2.31942009,1,54964.436,MJD,Kepler
11457,Kepler-1439 b,Kepler-1439,8.07392849,1,55372.542,MJD,Kepler
11467,Kepler-144 b,Kepler-144,5.88528169,2,55006.92565,MJD,Kepler
11479,Kepler-144 c,Kepler-144,10.104665,2,54968.05344,MJD,Kepler
11491,Kepler-1440 b,Kepler-1440,,1,54987.261,MJD,Kepler
11501,Kepler-1441 b,Kepler-1441,39.4420781,1,55001.637,MJD,Kepler
11511,Kepler-1442 b,Kepler-1442,81.4160138,1,54993.363,MJD,Kepler
11520,Kepler-1443 b,Kepler-1443,2.41810158,1,54964.883,MJD,Kepler
11528,Kepler-1444 b,Kepler-1444,33.42035034,1,54991.637,MJD,Kepler
11537,Kepler-1445 b,Kepler-1445,,1,54965.485,MJD,Kepler
11545,Kepler-1446 b,Kepler-1446,0.68996783,1,54964.135,MJD,Kepler
11554,Kepler-1447 b,Kepler-1447,56.6747285,1,54992.95,MJD,Kepler
11563,Kepler-1448 b,Kepler-1448,12.27054812,1,54970.07,MJD,Kepler
11572,Kepler-1449 b,Kepler-1449,,1,54970.222,MJD,Kepler
11580,Kepler-145 b,Kepler-145,22.95059544,2,54984.03259,MJD,Kepler
11592,Kepler-145 c,Kepler-145,42.88250524,2,55036.1483,MJD,Kepler
11604,Kepler-1450 b,Kepler-1450,54.5091549,1,54973.326,MJD,Kepler
11613,Kepler-1451 b,Kepler-1451,,1,54973.958,MJD,Kepler
11621,Kepler-1452 b,Kepler-1452,42.913751,1,54972.389,MJD,Kepler
11630,Kepler-1453 b,Kepler-1453,47.1607932,1,54982.753,MJD,Kepler
11639,Kepler-1454 b,Kepler-1454,47.0319479,1,55007.975,MJD,Kepler
11648,Kepler-1455 b,Kepler-1455,49.2768448,1,54989.525,MJD,Kepler
11658,Kepler-1456 b,Kepler-1456,18.1373829,1,54969.308,MJD,Kepler
11666,Kepler-1457 b,Kepler-1457,51.1110243,1,54976.272,MJD,Kepler
11675,Kepler-1458 b,Kepler-1458,,1,54993.151,MJD,Kepler
11684,Kepler-1459 b,Kepler-1459,62.86862572,1,54998.521,MJD,Kepler
11693,Kepler-146 b,Kepler-146,31.15879091,2,55006.40272,MJD,Kepler
11704,Kepler-146 c,Kepler-146,76.73312,2,55033.17082,MJD,Kepler
11716,Kepler-1460 b,Kepler-1460,29.9633247,1,54982.442,MJD,Kepler
11725,Kepler-1461 b,Kepler-1461,29.34926797,1,54980.965,MJD,Kepler
11734,Kepler-1462 b,Kepler-1462,65.64890923,1,55007.294,MJD,Kepler
11743,Kepler-1463 b,Kepler-1463,25.15864,1,54985.551,MJD,Kepler
11751,Kepler-1464 b,Kepler-1464,31.77852476,2,54969.269,MJD,Kepler
11760,Kepler-1464 c,Kepler-1464,5.32784157,2,54966.048,MJD,Kepler
11768,Kepler-1465 b,Kepler-1465,31.8277111,1,54967.098,MJD,Kepler
11776,Kepler-1466 b,Kepler-1466,31.1749846,1,54991.595,MJD,Kepler
11785,Kepler-1467 b,Kepler-1467,,1,54993.559,MJD,Kepler
11794,Kepler-1468 b,Kepler-1468,8.23983041,3,54970.255,MJD,Kepler
11803,Kepler-1468 c,Kepler-1468,3.54553021,3,54964.877,MJD,Kepler
11811,Kepler-1468 d,Kepler-1468,19.5906167,3,54977.15869,MJD,Kepler
11818,Kepler-1469 b,Kepler-1469,,1,54977.74,MJD,Kepler
11827,Kepler-147 b,Kepler-147,12.61102,2,54970.69015,MJD,Kepler
11837,Kepler-147 c,Kepler-147,33.4160034,2,55003.83383,MJD,Kepler
11848,Kepler-1470 b,Kepler-1470,16.29501586,1,54977.305,MJD,Kepler
11856,Kepler-1471 b,Kepler-1471,3.63901687,1,54964.285,MJD,Kepler
11864,Kepler-1472 b,Kepler-1472,38.1312831,1,54991.867,MJD,Kepler
11873,Kepler-1473 b,Kepler-1473,14.4273551,1,54971.341,MJD,Kepler
11881,Kepler-1474 b,Kepler-1474,36.4333452,1,54965.411,MJD,Kepler
11890,Kepler-1475 b,Kepler-1475,82.177374,1,55029.693,MJD,Kepler
11899,Kepler-1476 b,Kepler-1476,,1,54970.804,MJD,Kepler
11907,Kepler-1477 b,Kepler-1477,11.55638904,1,54966.631,MJD,Kepler
11915,Kepler-1478 b,Kepler-1478,26.0840594,1,54981.948,MJD,Kepler
11923,Kepler-1479 b,Kepler-1479,14.53253029,1,54972.968,MJD,Kepler
11932,Kepler-148 b,Kepler-148,1.72937253,3,54966.31853,MJD,Kepler
11943,Kepler-148 c,Kepler-148,4.18004808,3,55006.21928,MJD,Kepler
11954,Kepler-148 d,Kepler-148,51.8468915,3,55002.581,MJD,Kepler
11964,Kepler-1480 b,Kepler-1480,22.1270885,1,54977.435,MJD,Kepler
11973,Kepler-1481 b,Kepler-1481,5.94228603,1,54966.314,MJD,Kepler
11981,Kepler-1482 b,Kepler-1482,12.25383217,1,54976.203,MJD,Kepler
11988,Kepler-1483 b,Kepler-1483,9.5085156,1,54973.059,MJD,Kepler
11996,Kepler-1484 b,Kepler-1484,30.45445352,1,54973.263,MJD,Kepler
12004,Kepler-1485 b,Kepler-1485,19.9158863,1,54971.873,MJD,Kepler
12013,Kepler-1486 b,Kepler-1486,54.6495759,1,55008.53,MJD,Kepler
12022,Kepler-1487 b,Kepler-1487,7.31946363,1,54969.719,MJD,Kepler
12030,Kepler-1488 b,Kepler-1488,39.8189932,2,54999.147,MJD,Kepler
12039,Kepler-1488 c,Kepler-1488,6.15828666,2,54967.9999,MJD,Kepler
12045,Kepler-1489 b,Kepler-1489,82.292865,1,55044.507,MJD,Kepler
12054,Kepler-149 b,Kepler-149,29.1989838,3,55017.94022,MJD,Kepler
12064,Kepler-149 c,Kepler-149,55.3291399,3,55018.82665,MJD,Kepler
12075,Kepler-149 d,Kepler-149,160.0193617,3,55083.78348,MJD,Kepler
12086,Kepler-1490 b,Kepler-1490,92.4362973,1,54996.088,MJD,Kepler
12095,Kepler-1491 b,Kepler-1491,16.5861762,1,54965.779,MJD,Kepler
12103,Kepler-1492 b,Kepler-1492,16.75241848,1,54964.095,MJD,Kepler
12112,Kepler-1493 b,Kepler-1493,15.0217983,1,54976.202,MJD,Kepler
12119,Kepler-1494 b,Kepler-1494,91.07862718,1,55046.259,MJD,Kepler
12128,Kepler-1495 b,Kepler-1495,85.273256,1,55014.868,MJD,Kepler
12135,Kepler-1496 b,Kepler-1496,64.6588017,1,55002.678,MJD,Kepler
12144,Kepler-1497 b,Kepler-1497,8.74199772,1,54967.922,MJD,Kepler
