,Time,Flux
0,120.5391271280605,1.0002286434173584
1,120.55956145135133,1.0001637935638428
2,120.5799956746414,1.0002764463424683
3,120.6004300978675,1.0002014636993408
4,120.62086442115833,1.0001475811004639
5,120.64129864433198,1.0002186298370361
6,120.66173296749912,1.0002977848052979
7,120.6821673906743,1.00015389919281
8,120.70260161384795,1.00015389919281
9,120.72303593689867,1.0001413822174072
10,120.74347035995743,1.0001941919326782
11,120.76390458301466,1.0001814365386963
12,120.78433890594897,1.0001455545425415
13,120.80477322900697,1.0002269744873047
14,120.82520755194855,1.000282883644104
15,120.84564187488286,1.0001938343048096
16,120.86607619770803,1.0001636743545532
17,120.88651062053395,1.0002009868621826
18,120.9069448434675,1.0001381635665894
19,120.92737916617625,1.000134825706482
20,120.9478135889949,1.0001331567764282
21,120.9682478117029,1.0001922845840454
22,120.98868213441165,1.0000927448272705
23,121.00911635711964,1.000127911567688
24,121.02955077970546,1.0000660419464111
25,121.04998510241421,1.000024676322937
26,121.07041942500655,0.9999667406082153
27,121.0908537474752,0.9999681115150452
28,121.11128807006753,0.9999284148216248
29,121.13172239254345,0.999984860420227
30,121.15215661501134,0.9999889135360718
31,121.17259103748802,0.9999293684959412
32,121.19302535984752,0.9999884366989136
33,121.213459582199,0.9999935626983643
34,121.23389400455926,0.9997992515563965
35,121.25432832691877,1.0000108480453491
36,121.27476254915382,0.9999134540557861
37,121.29519687139691,1.0000996589660645
38,121.31563129364076,0.9999653100967407
39,121.33606561587658,1.0001747608184814
40,121.35649983800249,0.9999526143074036
41,121.37693426012993,0.9998646974563599
42,121.39736858224933,1.0000267028808594
43,121.41780280425883,1.0000211000442505
44,121.43823712626909,1.0000195503234863
45,121.45867154827283,0.9999004602432251
46,121.47910577028233,0.999879002571106
47,121.49954009217618,0.9997831583023071
48,121.51997441406274,0.9998962879180908
49,121.54040883595735,0.9997630715370178
50,121.5608431578512,0.9999070167541504
51,121.58127737962059,0.999957263469696
52,121.60171180139878,0.9999865293502808
53,121.62214612317621,0.9998893737792969
54,121.64258034482918,0.9999035596847534
55,121.6630146664902,0.9999439716339111
56,121.68344908815197,0.9999096393585205
57,121.70388330980495,0.9998393654823303
58,121.72431763134955,0.9998918771743774
59,121.74475205289491,0.9998844861984253
60,121.76518627443147,0.9999581575393677
61,121.78562059585965,0.9999454617500305
62,121.80605491740425,0.9999566674232483
63,121.82648923870875,0.9999301433563232
64,121.84692356013693,0.9999702572822571
65,121.8673578814487,1.0000234842300415
66,121.88779220275319,0.999997079372406
67,121.90822652406496,0.999916672706604
68,121.92866084537673,0.9999894499778748
69,121.94909506656404,0.9998219013214111
70,121.96952948776016,0.999846875667572
71,121.9899638088391,0.9999211430549622
72,122.01039803003368,0.9998487234115601
73,122.03083245110611,0.9998403787612915
74,122.05126677206863,0.9999933242797852
75,122.07170109314029,0.999770998954773
76,122.09213531410205,0.9999178051948547
77,122.11256973506534,0.9997204542160034
78,122.13300405590417,0.9999808073043823
79,122.15343827686593,0.999850869178772
80,122.1738726977128,0.9997549653053284
81,122.19430701843521,0.9998922944068909
82,122.21474123916414,0.9999042749404907
83,122.23517556001025,0.9997047781944275
84,122.25560998061701,0.999894917011261
85,122.27604420134594,0.9998785257339478
86,122.29647852195922,0.9999188780784607
87,122.31691294256598,0.9999799132347107
88,122.33734716306208,1.0000144243240356
89,122.35778148367535,1.000016450881958
90,122.37821580404852,1.000002145767212
91,122.39865022454615,0.999946653842926
92,122.41908444504224,0.9999933242797852
93,122.43951876541541,0.9999203085899353
94,122.4599531856802,0.9998862147331238
95,122.48038740605989,1.0000216960906982
96,122.50082172631664,0.9998945593833923
97,122.5212559464635,0.9999027848243713
98,122.54169036672829,0.9999658465385437
99,122.56212468686863,0.9998555183410645
100,122.58255900701624,0.9999452829360962
101,122.60299332716386,0.9998682737350464
102,122.62342764718778,0.9999416470527649
103,122.64386196721898,0.999889612197876
104,122.664296187133,0.9999855756759644
105,122.68473060715769,0.9997726082801819
106,122.70516492707247,1.0000172853469849
107,122.72559914687008,0.9999131560325623
108,122.74603356677835,0.9998968243598938
109,122.76646788657672,0.9999090433120728
110,122.78690210625791,0.9999028444290161
111,122.807336426049,1.0000779628753662
112,122.82777084573172,1.0000535249710083
113,122.84820516541367,0.9999308586120605
114,122.86863948497194,1.0000375509262085
115,122.88907380453747,1.0000474452972412
116,122.90950812410301,0.9999861717224121
117,122.92994244366128,1.0001448392868042
118,122.95037666310964,1.0000874996185303
119,122.97081108255952,1.0000050067901611
120,122.99124540188495,1.0001180171966553
121,123.0116796212169,1.00009024143219
122,123.03211404055037,1.0002131462097168
123,123.0525483598758,1.0002096891403198
124,123.07298267909209,1.0001574754714966
125,123.09341689830762,1.0002351999282837
126,123.11385131740099,0.9999940395355225
127,123.13428563661728,1.000115990638733
128,123.15471985559998,1.0002129077911377
129,123.17515427469334,1.0001060962677002
130,123.1955885936768,1.0000959634780884
131,123.2160228126595,1.0001416206359863
132,123.23645713164296,1.0001118183135986
133,123.2568915505035,1.0001864433288574
134,123.27732576936978,1.000095248222351
135,123.29776008811314,
136,123.31819450698094,1.000162124633789
137,123.33862872573081,1.0000282526016235
138,123.35906304436503,1.0002089738845825
139,123.37949736299197,1.0000755786895752
140,123.39993178162695,1.0001070499420166
141,123.42036600025313,0.9999520778656006
142,123.44080031877093,1.0001580715179443
143,123.46123473728949,1.0001132488250732
144,123.48166895569011,1.0000349283218384
145,123.50210327408422,1.000091552734375
146,123.52253749248484,0.9999665021896362
147,123.54297191087971,0.9999789595603943
